Time	FurnaceID	TubeID	BoatID	ZoneID	P1	P2	P3	P4	P5	P6	P7	P8	P9	Average	Stdev	Max	Min	Homogeneity	Vd1	Vd2	Vd3	Vd4	Vd5	Vd6	Vd7	Vd8	Vd9	Quality	VdQuality
2025/11/12 20:03:23	1	DIFFXBCL10-03	N1	6	169.7	171.8	170.4	175.1	176.9	173.6	175.2	176.97	173.6	173.6	2.40	176.9	169.7	0.02	1.01	0.93	0.93	1.16	1.16	1.21	1.12	1.13	1.12	1	0
2025/11/12 20:06:56	1	DIFFXBCL10-03	N1	8	182.6	184.6	183.9	186.6	187.7	183.5	182.9	185.7	184.0	184.6	1.63	187.7	182.6	0.01	1.02	0.94	0.94	1.19	1.19	1.23	1.14	1.15	1.16	1	0
2025/11/12 20:12:23	1	DIFFXBCL10-03	N1	10	187.9	188.2	186.4	189.4	191.6	190.0	188.1	188.6	185.9	188.5	1.65	191.6	185.9	0.02	1.01	0.92	0.91	1.16	1.17	1.21	1.12	1.12	1.13	1	0
2025/11/12 20:15:43	1	DIFFXBCL10-03	N1	12	196.3	197.6	197.5	201.0	202.2	199.9	200.2	201.5	200.2	199.6	1.90	202.2	196.3	0.01	1.02	0.91	0.92	1.16	1.16	1.21	1.12	1.13	1.13	2	0
2025/11/12 20:48:41	2	DIFFXBCL10-03	N2	2	162.0	165.5	190.6	171.8	162.3	161.2	161.1	161.2	170.2	167.3	9.07	190.6	161.1	0.09	0.98	0.91	0.89	1.14	1.14	1.19	1.09	1.09	1.14	2	1
2025/11/12 20:50:50	2	DIFFXBCL10-03	N2	4	180.7	182.4	182.1	186.7	186.7	182.4	183.0	186.1	185.9	184.0	2.19	186.7	180.7	0.02	0.99	0.95	0.91	1.16	1.14	1.19	1.11	1.11	1.12	1	1
2025/11/12 20:53:00	2	DIFFXBCL10-03	N2	6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.00	0.1	0.1	0.00	1.57	1.56	1.52	1.66	1.69	1.69	1.92	1.88	1.84	0	0
2025/11/12 20:57:00	2	DIFFXBCL10-03	N2	8	168.9	171.3	170.8	177.1	177.8	172.7	172.7	176.0	175.6	173.7	2.91	177.8	168.9	0.03	0.98	0.90	0.89	1.15	1.14	1.19	1.09	1.11	1.10	1	1
2025/11/12 21:07:25	2	DIFFXBCL10-03	N2	10	175.9	178.7	178.1	183.2	183.7	179.7	178.9	182.1	180.8	180.1	2.41	183.7	175.9	0.02	1.00	0.92	0.89	1.13	1.13	1.22	1.13	1.05	1.10	1	0
2025/11/12 21:09:57	2	DIFFXBCL10-03	N2	12	191.1	192.8	191.2	196.9	198.0	194.6	192.8	195.7	193.5	194.1	2.29	198.0	191.1	0.02	1.00	0.90	0.90	1.16	1.16	1.20	1.11	1.10	1.12	2	1
2025/11/12 21:23:51	1	DIFFXBCL10-02	A1	2	173.9	175.7	202.1	180.9	168.4	168.8	171.1	168.8	179.1	176.5	10.01	202.1	168.4	0.10	1.01	0.92	0.90	1.15	1.13	1.20	1.12	1.11	1.13	1	1
2025/11/12 21:27:10	1	DIFFXBCL10-02	A1	4	190.8	192.5	192.5	198.1	197.3	194.5	196.3	198.8	198.3	195.5	2.80	198.8	190.8	0.02	1.01	0.92	0.91	1.17	1.16	1.21	1.11	1.12	1.12	2	0
2025/11/12 21:30:12	1	DIFFXBCL10-02	A1	6	175.7	177.0	178.5	184.7	182.1	178.8	182.3	185.7	186.9	181.3	3.77	186.9	175.7	0.03	0.99	0.91	0.89	1.14	1.13	1.20	1.10	1.10	1.10	1	1
2025/11/12 22:13:47	1	DIFFXBCL10-02	A1	8	171.9	175.0	174.7	181.4	180.4	176.7	177.3	181.0	180.8	177.7	3.21	181.4	171.9	0.03	0.99	0.95	0.90	1.15	1.15	1.17	1.06	1.07	1.11	1	1
2025/11/12 22:16:06	1	DIFFXBCL10-02	A1	10	180.5	183.1	182.7	188.8	189.5	185.9	185.2	188.5	187.3	185.7	2.94	189.5	180.5	0.02	1.01	0.95	0.94	1.18	1.20	1.22	1.14	1.12	1.14	1	0
2025/11/12 22:21:13	1	DIFFXBCL10-02	A1	12	196.6	202.7	204.7	210.4	211.0	204.5	203.1	207.0	205.5	205.1	4.07	211.0	196.6	0.04	1.00	0.96	0.90	1.18	1.16	1.18	1.10	1.10	1.10	0	1
2025/11/12 22:25:57	2	DIFFXBCL10-02	A2	2	161.9	165.8	193.1	174.2	162.8	160.5	160.1	160.8	173.8	168.1	10.23	193.1	160.1	0.10	0.98	0.88	0.87	1.17	1.16	1.17	1.07	1.08	1.12	2	1
2025/11/12 22:31:36	2	DIFFXBCL10-02	A2	4	186.0	188.2	188.6	193.6	192.3	188.7	189.6	192.1	192.3	190.2	2.38	193.6	186.0	0.02	0.98	0.90	0.88	1.13	1.13	1.16	1.09	1.08	1.08	2	1
2025/11/12 22:33:47	2	DIFFXBCL10-02	A2	6	174.7	175.8	176.6	180.0	178.9	176.4	178.3	180.0	180.0	177.9	1.91	180.0	174.7	0.01	1.00	0.91	0.90	1.16	1.15	1.20	1.11	1.11	1.12	1	1
2025/11/12 22:37:15	2	DIFFXBCL10-02	A2	8	168.1	170.1	170.3	177.2	177.3	173.4	173.9	176.8	175.9	173.7	3.26	177.3	168.1	0.03	1.00	0.89	0.90	1.15	1.15	1.20	1.12	1.11	1.09	1	1
2025/11/12 22:40:38	2	DIFFXBCL10-02	A2	10	174.1	175.2	173.8	179.6	181.1	177.4	176.5	179.0	177.5	177.1	2.36	181.1	173.8	0.02	0.98	0.91	0.91	1.16	1.15	1.20	1.12	1.12	1.13	1	1
2025/11/12 22:44:15	2	DIFFXBCL10-02	A2	12	181.4	183.1	181.4	188.2	189.6	186.7	187.1	189.7	187.1	186.0	3.08	189.7	181.4	0.02	0.99	0.93	0.89	1.17	1.19	1.20	1.11	1.11	1.13	1	1
2025/11/12 22:46:25	1	DIFFXBCL10-04	C1	2	169.0	171.3	199.9	176.3	164.3	165.5	164.4	162.5	172.4	171.7	10.83	199.9	162.5	0.11	1.02	0.92	0.91	1.16	1.16	1.20	1.13	1.11	1.13	1	1
2025/11/12 23:17:58	1	DIFFXBCL10-04	C1	4	187.1	189.5	189.6	196.7	196.0	193.7	195.0	197.7	197.3	193.6	3.70	197.7	187.1	0.03	1.02	0.91	0.91	1.15	1.17	1.19	1.10	1.11	1.11	2	1
2025/11/12 23:20:35	1	DIFFXBCL10-04	C1	6	172.5	173.6	174.1	179.4	177.6	174.7	176.2	178.8	179.7	176.3	2.54	179.7	172.5	0.02	1.03	0.96	0.93	1.20	1.19	1.22	1.14	1.16	1.16	1	0
2025/11/12 23:23:27	1	DIFFXBCL10-04	C1	8	174.5	177.0	177.4	184.4	183.6	178.9	180.8	185.1	184.7	180.7	3.71	185.1	174.5	0.03	1.00	0.90	0.91	1.17	1.17	1.22	1.12	1.12	1.13	1	0
2025/11/12 23:25:45	1	DIFFXBCL10-04	C1	10	178.8	182.1	182.0	186.7	186.9	183.6	182.2	184.1	183.1	183.3	2.35	186.9	178.8	0.02	0.99	0.94	0.91	1.17	1.16	1.20	1.13	1.11	1.12	1	1
2025/11/12 23:28:23	1	DIFFXBCL10-04	C1	12	187.7	189.6	189.4	194.9	196.6	192.4	191.0	193.6	192.4	192.0	2.68	196.6	187.7	0.02	1.01	0.92	0.88	1.14	1.15	1.19	1.09	1.10	1.08	2	1
2025/11/12 23:33:11	2	DIFFXBCL10-04	C2	2	158.4	159.7	173.1	166.1	165.4	162.9	159.9	162.6	165.5	163.7	4.22	173.1	158.4	0.04	1.01	0.93	0.90	1.16	1.16	1.20	1.12	1.10	1.12	2	1
